Component,Origin,License
core,"code.cloudfoundry.org/bbs/models/test/model_helpers",Apache-2.0
core,"code.cloudfoundry.org/bbs/serviceclient",Apache-2.0
core,"code.cloudfoundry.org/bbs/serviceclient/serviceclientfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/taskworkpool",Apache-2.0
core,"code.cloudfoundry.org/bbs/taskworkpool/taskworkpoolfakes",Apache-2.0
core,"code.cloudfoundry.org/bbs/test_helpers",Apache-2.0
core,"code.cloudfoundry.org/bbs/test_helpers/sqlrunner",Apache-2.0
core,"code.cloudfoundry.org/cfhttp/v2",Apache-2.0
core,"code.cloudfoundry.org/clock",Apache-2.0
core,"code.cloudfoundry.org/clock/fakeclock",Apache-2.0
core,"code.cloudfoundry.org/consuladapter",Apache-2.0
core,"code.cloudfoundry.org/consuladapter/consulrunner",Apache-2.0
core,"code.cloudfoundry.org/consuladapter/fakes",Apache-2.0
core,"code.cloudfoundry.org/diego-logging-client",Apache-2.0
core,"code.cloudfoundry.org/diego-logging-client/testhelpers",Apache-2.0
core,"code.cloudfoundry.org/executor",Apache-2.0
core,"code.cloudfoundry.org/executor/containermetrics",Apache-2.0
core,"code.cloudfoundry.org/executor/depot",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/containerstore",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/containerstore/containerstorefakes",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/event",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/event/fakes",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/log_streamer",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/log_streamer/fake_log_streamer",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/metrics",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/steps",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/transformer",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/transformer/faketransformer",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/uploader",Apache-2.0
core,"code.cloudfoundry.org/executor/depot/uploader/fake_uploader",Apache-2.0
core,"code.cloudfoundry.org/executor/fakes",Apache-2.0
core,"code.cloudfoundry.org/executor/gardenhealth",Apache-2.0
core,"code.cloudfoundry.org/executor/gardenhealth/fakegardenhealth",Apache-2.0
core,"code.cloudfoundry.org/executor/guidgen",Apache-2.0
core,"code.cloudfoundry.org/executor/guidgen/fakeguidgen",Apache-2.0
core,"code.cloudfoundry.org/executor/initializer",Apache-2.0
core,"code.cloudfoundry.org/executor/initializer/configuration",Apache-2.0
core,"code.cloudfoundry.org/executor/initializer/configuration/configurationfakes",Apache-2.0
core,"code.cloudfoundry.org/executor/initializer/fakes",Apache-2.0
core,"code.cloudfoundry.org/garden",Apache-2.0
core,"code.cloudfoundry.org/garden/client",Apache-2.0
core,"code.cloudfoundry.org/garden/client/connection",Apache-2.0
core,"code.cloudfoundry.org/garden/client/connection/connectionfakes",Apache-2.0
core,"code.cloudfoundry.org/garden/gardenfakes",Apache-2.0
core,"code.cloudfoundry.org/garden/routes",Apache-2.0
core,"code.cloudfoundry.org/garden/server",Apache-2.0
core,"code.cloudfoundry.org/garden/server/bomberman",Apache-2.0
core,"code.cloudfoundry.org/garden/server/streamer",Apache-2.0
core,"code.cloudfoundry.org/garden/server/timebomb",Apache-2.0
core,"code.cloudfoundry.org/garden/transport",Apache-2.0
core,"code.cloudfoundry.org/go-diodes",Apache-2.0
core,"code.cloudfoundry.org/go-loggregator",Apache-2.0
core,"code.cloudfoundry.org/go-loggregator/conversion",Apache-2.0
core,"code.cloudfoundry.org/go-loggregator/pulseemitter",Apache-2.0
core,"code.cloudfoundry.org/go-loggregator/rpc/loggregator_v2",Apache-2.0
core,"code.cloudfoundry.org/go-loggregator/runtimeemitter",Apache-2.0
core,"code.cloudfoundry.org/go-loggregator/v1",Apache-2.0
core,"code.cloudfoundry.org/lager",Apache-2.0
core,"code.cloudfoundry.org/lager/chug",Apache-2.0
core,"code.cloudfoundry.org/lager/ginkgoreporter",Apache-2.0
core,"code.cloudfoundry.org/lager/lagerctx",Apache-2.0
core,"code.cloudfoundry.org/lager/lagerflags",Apache-2.0
core,"code.cloudfoundry.org/lager/lagertest",Apache-2.0
core,"code.cloudfoundry.org/locket",Apache-2.0
core,"code.cloudfoundry.org/locket/cmd/locket/config",Apache-2.0
core,"code.cloudfoundry.org/locket/cmd/locket/testrunner",Apache-2.0
core,"code.cloudfoundry.org/locket/db",Apache-2.0
core,"code.cloudfoundry.org/locket/db/dbfakes",Apache-2.0
core,"code.cloudfoundry.org/locket/expiration",Apache-2.0
core,"code.cloudfoundry.org/locket/expiration/expirationfakes",Apache-2.0
core,"code.cloudfoundry.org/locket/grpcserver",Apache-2.0
core,"code.cloudfoundry.org/locket/handlers",Apache-2.0
core,"code.cloudfoundry.org/locket/jointlock",Apache-2.0
core,"code.cloudfoundry.org/locket/lock",Apache-2.0
core,"code.cloudfoundry.org/locket/lockheldmetrics",Apache-2.0
core,"code.cloudfoundry.org/locket/metrics",Apache-2.0
core,"code.cloudfoundry.org/locket/metrics/helpers",Apache-2.0
core,"code.cloudfoundry.org/locket/metrics/helpers/helpersfakes",Apache-2.0
core,"code.cloudfoundry.org/locket/models",Apache-2.0
core,"code.cloudfoundry.org/locket/models/modelsfakes",Apache-2.0
core,"code.cloudfoundry.org/rep",Apache-2.0
core,"code.cloudfoundry.org/rep/auctioncellrep",Apache-2.0
core,"code.cloudfoundry.org/rep/auctioncellrep/auctioncellrepfakes",Apache-2.0
core,"code.cloudfoundry.org/rep/cmd/rep/config",Apache-2.0
core,"code.cloudfoundry.org/rep/cmd/rep/testrunner",Apache-2.0
core,"code.cloudfoundry.org/rep/evacuation",Apache-2.0
core,"code.cloudfoundry.org/rep/evacuation/evacuation_context",Apache-2.0
core,"code.cloudfoundry.org/rep/evacuation/evacuation_context/fake_evacuation_context",Apache-2.0
core,"code.cloudfoundry.org/rep/generator",Apache-2.0
core,"code.cloudfoundry.org/rep/generator/fake_generator",Apache-2.0
core,"code.cloudfoundry.org/rep/generator/internal",Apache-2.0
core,"code.cloudfoundry.org/rep/generator/internal/fake_internal",Apache-2.0
core,"code.cloudfoundry.org/rep/handlers",Apache-2.0
core,"code.cloudfoundry.org/rep/handlers/handlersfakes",Apache-2.0
core,"code.cloudfoundry.org/rep/harmonizer",Apache-2.0
core,"code.cloudfoundry.org/rep/maintain",Apache-2.0
core,"code.cloudfoundry.org/rep/maintain/maintainfakes",Apache-2.0
core,"code.cloudfoundry.org/rep/repfakes",Apache-2.0
core,"code.cloudfoundry.org/rfc5424",FreeBSD
core,"code.cloudfoundry.org/tlsconfig",Apache-2.0
core,"code.cloudfoundry.org/tlsconfig/certtest",Apache-2.0
core,"contrib.go.opencensus.io/exporter/ocagent",Apache-2.0
core,"dmitri.shuralyov.com/gpu/mtl",NewBSD
core,"dmitri.shuralyov.com/gpu/mtl/example/movingtriangle/internal/ca",NewBSD
core,"dmitri.shuralyov.com/gpu/mtl/example/movingtriangle/internal/ns",NewBSD
core,"github.com/Azure/azure-pipeline-go/pipeline",MIT
core,"github.com/Azure/azure-sdk-for-go/services/aad/mgmt/2017-04-01/aad",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/aad/mgmt/2017-04-01/aad/aadapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/adhybridhealthservice/mgmt/2014-01-01/adhybridhealthservice",Apache-2.0
